,1,2,3,4,5,6,7
94,0.1080382833,0.1814635614,-0.0020821676,0.0293395284,0.1203957458,0.0741138674,1
95,-0.2001415092,-0.0783721435,0.1354358064,0.092322133,0.0681353809,0.0441346418,1
96,0.0264226091,0.1167951068,-0.1322916454,0.0395061097,0.0110428453,0.045609345,0
97,0.280974494,0.0757489928,0.066816288,0.0200861891,0.0078432922,0.0045148093,0
98,-0.1563147729,0.1680276534,-0.075600292,0.008951492,0.0046161653,0.0043043823,1
99,0.0728866749,-0.0801870964,0.0213104144,0.0188426809,0.0079380571,0.0043866607,1
100,0.1436922466,0.1142326534,0.0938967096,0.0129146621,0.0037234766,0.0038167415,1
101,-0.0062254379,0.1145990474,-0.0159687438,0.0543281401,0.0234904119,0.0288169502,1
102,0.03510451,0.3259382123,-0.0182128539,0.1695980701,0.2075707044,0.1776388321,0
103,0.0675673458,0.0757779916,-0.1181029757,0.0186957878,0.0126636297,0.0104577074,1
104,0.3294489243,0.1702010637,0.193891251,0.1013241581,0.0425563651,0.0210862917,1
105,0.1288344343,0.2833924542,0.0320834559,0.0094850102,0.0062242955,0.0238313022,1
106,-0.1275716913,0.1817701709,-0.0033200893,0.0719573916,0.1615819817,0.0489077796,0
107,0.1540208331,0.0959894646,0.1684854116,0.0340292235,0.0786559203,0.1505200095,1
108,-0.0037727211,-0.0160827743,-0.1848632948,0.0137178478,0.0086100628,0.0089499831,1
109,0.1463750862,0.1379266263,-0.0244354309,0.129075569,0.0333745046,0.0201921224,1
110,-0.1201479199,-0.0257998116,0.0199265104,0.0085339316,0.00776145,0.0036490928,1
111,0.0078190745,-0.2327661442,-0.0994516936,0.0383780412,0.1358920371,0.1139258228,1
112,0.0638111255,0.0711949295,0.029907851,0.0104791537,0.0073328944,0.0060531667,1
113,-0.1992511155,0.1235420713,0.4929473426,0.0198038009,0.0526975083,0.0583129254,1
