,1,2,3,4,5,6,7,8,9,10,11,12,13
1915,0.3153034303,0.3097636414,-0.8969908327,0.0284532195,0.2035843347,0.0848855789,0.0022216808,0.005210453,0.0023767786,0.016096005,0.0146422105,0.014151286,1
1916,0.1661555418,0.3054121912,-0.9372654462,0.0392021976,0.3493819323,0.0043499797,0.0214577181,0.0125804613,0.0055245194,0.0080561268,0.0076296025,0.0115741812,1
1917,0.206680239,0.1835250876,-0.9344781992,0.0645933066,0.1528991704,-0.0127468614,0.1619178172,0.1462682917,0.052350161,0.1939543717,0.1243610346,0.107211462,0
1918,0.2945291474,0.2961006375,-0.9085483307,0.1094771082,0.1776006733,-0.1039236631,0.0046415083,0.0088274083,0.0041803196,0.0575146059,0.047867737,0.0719602008,1
1919,0.0379753745,0.0373536693,-0.9892357888,-0.0039066707,0.0002170446,0.0043112997,0.0955839689,0.0932718304,0.0271884672,0.0147158714,0.0280167992,0.0352606608,0
1920,0.1290409275,0.2939267809,-0.9432248645,-0.1044106737,0.3063790518,0.0391171669,0.0325882759,0.0753324248,0.0233544198,0.0172964612,0.0140933674,0.0115124088,0
1921,0.3050530598,0.3048936454,-0.9021017171,0.0973829988,0.0945867061,-0.0601406197,0.0063984446,0.0109568218,0.0058320421,0.0159743581,0.0960514883,0.096938235,1
1922,0.2902792032,0.3149275817,-0.9034838964,0.0706544351,0.0871116585,0.1766295018,0.0080743552,0.0141754957,0.0030623332,0.0411758419,0.0548831054,0.2143393887,1
1923,0.2922343068,0.2793267251,-0.9015016375,0.1012658732,0.3329987888,-0.0311403203,0.1071635784,0.104357797,0.0386771388,0.2254795687,0.1710156655,0.1854842484,0
1924,0.311017749,0.2522686255,-0.9163101992,-0.1624795618,0.1035895267,-0.0361490331,0.0009834317,0.0016716296,0.0006102856,0.0041222393,0.0037016786,0.0032934996,1
1925,0.2694525139,0.3009706614,-0.9129113147,0.2745373307,0.01719094,0.0234068203,0.0307226016,0.0450235659,0.0208317339,0.0045125651,0.0036214778,0.0035074604,1
1926,0.3404433506,0.2957068327,-0.8925531912,0.0106970229,-0.0286281602,0.0040660683,0.0008731681,0.0018517267,0.0006273999,0.0043694099,0.0036915538,0.0053300588,1
1927,0.209637012,0.2796062629,-0.9360370199,0.294523494,-0.124295753,0.0066727589,0.0333722863,0.0215798891,0.0113120059,0.010268939,0.0057074644,0.0054633738,1
1928,0.3200226135,0.2833260159,-0.9040279562,-0.0625287156,-0.0326911573,0.0950442757,0.0022198527,0.0061039224,0.0017478627,0.0119880875,0.0230479969,0.0096103369,1
1929,0.2397397729,0.2783716494,-0.9294062869,-0.1090224936,0.3120798884,0.1263567528,0.0168724146,0.0299566789,0.0074800463,0.0907235936,0.0195609544,0.1794044699,1
1930,0.3214624382,0.3113051275,-0.8942840837,0.0531285092,0.0124743247,0.1627042669,0.0011040921,0.0022619807,0.0008275993,0.0044903047,0.0046685217,0.003908249,1
1931,0.2435508884,0.3562983347,-0.8994827968,0.2843389243,-0.1169457434,0.1063893235,0.037438577,0.0501848644,0.0272937811,0.0211115487,0.0116305533,0.0107254118,1
1932,0.2092089841,0.2256696853,-0.933188753,0.2551205817,0.1408291295,0.1125530126,0.1241961828,0.1288676865,0.0493151914,0.0836979064,0.0675624459,0.0867190735,0
1933,0.1094789323,0.0897287729,-0.9680671793,-0.1445765362,0.1501703824,-0.0426357742,0.1559893787,0.1280789921,0.0455209442,0.1858231213,0.1201999061,0.1245521808,1
1934,0.2921099761,0.2592654502,-0.9194398845,-0.0888683654,0.0680511041,-0.216450566,0.037201206,0.0232250118,0.0126561474,0.0653522498,0.0669213603,0.0888787822,0
1935,0.3152556494,0.2904130359,-0.9031654462,-0.0153437907,0.0949387916,0.0245475649,0.0103498665,0.019414777,0.0090711676,0.0712734611,0.1189092596,0.0802442671,1
1936,0.3666325538,0.2683844024,-0.8898069841,0.1562695219,0.0538368319,-0.1152469163,0.0316595498,0.0252528305,0.0124037653,0.008902024,0.0065480759,0.0048952157,1
1937,0.3044407769,0.3029921753,-0.9029925299,0.1334641112,0.1228532307,-0.0910327025,0.0050161824,0.0086431699,0.0040230691,0.0344323466,0.066504929,0.1491010454,1
1938,0.2407038486,0.3191006653,-0.9164977888,-0.0633088594,0.3417331315,0.414149992,0.013235088,0.0085116676,0.0045358125,0.009923785,0.0089555698,0.0143004368,1
1939,0.2773651713,0.3084829004,-0.908441247,0.3470420996,-0.1414016155,-0.0500500946,0.0429823242,0.0214410044,0.0182786261,0.0241363786,0.0685828187,0.08564236,1
1940,0.3184252988,0.3007925219,-0.8989493426,0.0238376763,0.2167010878,-0.0071155107,0.0034189899,0.0022887203,0.0015358239,0.0477423426,0.0596873962,0.0519624984,1
1941,0.3326887729,0.2581884741,-0.8958445538,0.0320257077,-0.0004400508,-0.1667992884,0.1082505468,0.085047882,0.0341782497,0.0467595741,0.0495699776,0.0698739081,0
1942,0.3022317291,0.334248749,-0.8893719323,-0.1150495958,0.1533923063,0.150562517,0.0598601274,0.0416906623,0.0250985807,0.1316000646,0.1283727089,0.2547121126,0
1943,0.3001888486,0.3026238287,-0.9001905498,0.1463740633,-0.197506945,0.0886138007,0.0620463389,0.0602431788,0.0219877126,0.1292745757,0.2920504261,0.1322769855,0
1944,0.345684259,0.2752187291,-0.8970753705,-0.0091029722,-0.0330235345,-0.1053847538,0.0018679828,0.0027164974,0.0014349845,0.0072944763,0.0142325244,0.0072813495,1
1945,0.2547921713,0.309266498,-0.9148983626,0.2534175219,-0.0591412435,0.0502416824,0.0339407968,0.0323943872,0.0139566178,0.0093820507,0.0567844744,0.0506534383,1
1946,0.3289018327,0.2988144462,-0.8958295299,0.0470153713,-0.0080064328,0.0392105351,0.002250342,0.0037418605,0.0019704753,0.0138936015,0.0047522126,0.008429822,1
1947,0.3118045378,0.2994045976,-0.9016859124,0.0738831783,-0.0993805678,-0.0058695727,0.0037676502,0.0086179465,0.0029723386,0.1126384963,0.0898546024,0.118805438,1
1948,0.3079684183,0.3126462072,-0.8985511076,0.0549601406,0.2840359761,0.0755734829,0.0007225953,0.0033567388,0.0013658718,0.0028312754,0.0050112153,0.0051475478,1
